	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	lug	Luganda	Luganda Contemporary Bible (Bayibuli Entukuvu)	LUGLCB	4130000	Uganda	2021-09-28	2022-02-09	2020-03-03	
	arl	Arabela	1986, 2008 La Liga Bíblica	ARLTBL	50	Peru	2021-09-28	2021-04-22	2020-01-15	
	hlt	Chin, Matu	Evangel Bible Translators	HLTEBT	30000	India	2021-09-28	2021-09-15	2021-09-16	
	mfe	Mauritian Kreol	Nouvo Testaman Dan Kreol Morisien	MFEBSM	800000	Mauritius	2021-09-27	2022-03-01	2018-04-04	
	lef	Lelemi	1995 Bible League Intl.	LEFTBL	48900	Ghana	2021-09-27	2022-03-01	2018-04-04	
	hrv	Croatian	Knjiga O Kristu	HRVLPF	3980000	Croatia	2021-09-27	NULL,NULL
	jvn	Suriname Javanese	1999 Bible League International	JVNTBL	60000	Suriname	2021-09-27	2022-03-01	2018-04-13	
	akb	Batak, Angkola	1991 Edition	AKBLAI	750000	Indonesia	2021-09-27	2021-04-22	2018-04-04	
	nor	Norwegian	Bibelen 2011 bokmål	NORLPF	4640000	Norway	2021-09-24	NULL,NULL
	hin	Hindi	New Hindi Version - LUMO Easter Film	HINLEF	258000000	India	2021-09-24	NULL,NULL
	ces	Czech	Slovo na Cestu (Czech Living Bible)	CESLPF	9250000	Czech Republic	2021-09-24	NULL,NULL
	nya	Chichewa	Mawu a Mulungu mu Chichewa Chalero (The Word of God in Contemporary Chichewa)	NYJBIB	7000000	Malawi	2021-09-24	2021-11-01	2018-12-06	
	mal	Malayalam	Holy Bible, Malayalam Contemporary Version - LUMO Easter Film	MALLEF	33000000	India	2021-09-23	NULL,NULL
	bng	Bengali - India	Standard Version - LUMO Christmas Film	BENLCF	3900	India	2021-09-23	NULL,NULL
	mal	Malayalam	Holy Bible, Malayalam Contemporary Version - LUMO Christmas Film	MALLCF	33000000	India	2021-09-23	NULL,NULL
	set	Sentani	1997 Yayasan Sumber Dejahtera	SETWYI	30000	Indonesia	2021-09-23	2021-05-04	NULL
	tel	Telugu	Contemporary Version - LUMO Christmas Film	TELLCF	73800000	India	2021-09-23	NULL,NULL
	eng	English	Holy Bible, New International Version ® - LUMO Easter Film	ENGLEF	58200000	United States	2021-09-23	NULL,NULL
	tel	Telugu	Contemporary Version - LUMO Easter Film	TELLEF	73800000	India	2021-09-23	NULL,NULL
	eng	English	Holy Bible, New International Version ® - LUMO Christmas Film	ENGLCF	58200000	United States	2021-09-23	NULL,NULL
	hin	Hindi	New Hindi Version - LUMO Christmas Film	HINLCF	258000000	India	2021-09-23	NULL,NULL
